歌星id,歌星名称
"931","陈孝萱"
"932","陈雅伦"
"933","陈彦行"
"934","陈亦"
"935","陈引"
"936","陈永业"
"937","陈予新"
"938","陈雨霈"
"939","陈芷菁"
"940","成小龙"
"941","丑丑"
"943","崔萍"
"944","戴梅君"
"945","邓萃雯"
"946","邓建明"
"947","杜丽莎"
"948","杜雯惠"
"949","恩雅"
"950","范冰冰"
"951","范春梅"
"952","方皓玟"
"953","方力申"
"954","方丽盈"
"955","方顺吉"
"956","方婉真"
"957","刚泽斌"
"958","高瑞屏"
"959","高山峰"
"960","葛兰"
"961","恭顾良"
"962","龚秋华"
"963","巩俐"
"964","谷峰"
"965","顾媚"
"966","关心妍"
"967","桂銀淑"
"968","郭晋安"
"969","郭静"
"970","海俊杰"
"971","韩国辣妹"
"972","郝劭文"
"973","何宝生"
"974","何俐恩"
"975","何念庭"
"976","何味奇"
"977","何咏琳"
"978","何雨雯"
"980","黑皮"
"981","黑色饼干"
"982","洪百慧"
"983","洪健华"
"984","后街男孩"
"985","胡枫"
"986","胡慧中"
"987","胡彦斌"
"988","胡越山"
"989","皇后合唱团"
"990","黄宝欣"
"991","黄妃"
"992","黄国俊"
"993","黄国伦"
"994","黄敏华"
"995","黄佩霞"
"996","黄秋生"
"997","黄舒伟"
"998","黄维德"
"999","黄雅珉"
"1001","黄中原"
"1002","霍正奇"
"1003","吉田荣作"
"1004","纪炎炎"
"1005","江得胜"
"1006","江玲"
"1007","姜嘉锵"
"1008","蒋嘉莹"
"1009","蒋丽萍"
"1010","蒋勤勤"
"1011","蒋小涵"
"1012","金铭"
"1013","金瑞瑶"
"1014","静婷"
"1015","酒井法子"
"1016","柯湘"
"1017","孔兰薰"
"1018","孔令奇"
"1019","苦瓜"
"1020","酷龙"
"1021","老鹰乐队"
"1022","雷颂德"
"1023","黎沸辉"
"1024","黎骏"
"1025","黎明诗"
"1026","黎瑞莲"
"1027","李炳辰"
"1028","李灿森"
"1029","李达成"
"1030","李国煌"
"1031","李家发"
"1032","李嘉欣"
"1033","李美凤"
"1034","李若彤"
"1035","李绍继"
"1036","李恕权"
"1037","李天华"
"1038","李婉华"
"1039","李威"
"1040","李香兰"
"1041","李香琴"
"1042","李小璐"
"1043","李小冉"
"1044","李晓东"
"1045","李亚明"
"1046","李亚鹏"
"1047","李燕萍"
"1048","李颖雯"
"1049","李中希"
"1050","丽莎"
"1051","梁醒波"
"1052","寥百威"
"1053","寥仲"
"1054","廖昌永"
"1055","廖伟雄"
"1056","林保怡"
"1057","林凤英"
"1058","林慧萍"
"1059","林里嫔"
"1060","林姗姗"
"1061","林晓培"
"1062","刘春梅"
"1063","刘纯如"
"1064","刘建国"
"1065","刘琼"
"1066","刘天兰"
"1067","刘文娟"
"1068","刘晓庆"
"1069","刘以达与梦"
"1070","刘媛媛"
"1071","娄乾贵"
"1072","逯学军"
"1073","吕薇"
"1074","罗家英"
"1075","罗密欧"
"1076","罗敏庄"
"1078","马千珊"
"1079","马群琪"
"1080","马绍伟"
"1081","麦当娜"
"1082","麦洁文"
"1083","麦浚龙"
"1084","玫瑰秀"
"1085","美黛"
"1086","梦剧院"
"1087","苗金凤"
"1088","名洋"
"1089","内田有纪"
"1090","南台湾小姑娘"
"1091","倪萍"
"1092","宁静"
"1093","潘迪华"
"1094","潘军"
"1095","潘莉"
"1096","潘玮柏"
"1097","佩佩"
"1098","澎恰恰"
"1099","品冠"
"1100","朴志胤"
"1101","清醒乐队"
"1102","区瑞强"
"1103","任剑辉"
"1104","任真"
"1105","软硬天师"
"1106","莎连迪安"
"1107","山口百恵"
"1108","神话"
"1109","沈庆"
"1110","沈小岑"
"1111","石云岚"
"1112","宋新妮"
"1113","宋雪莱"
"1114","孙慧莹"
"1115","孙俪"
"1116","孙小梅"
"1117","谭炳文"
"1118","谭小环"
"1119","唐朝乐队"
"1120","陶大伟"
